Resource,WACC,Capital_Recovery_Period,Lifetime,Min_Retired_Cap_MW,Min_Retired_Energy_Cap_MW,Min_Retired_Charge_Cap_MW
AID107200,0.05,20,20,0,0,0
AID107192,0.05,20,20,0,0,0
AID107201,0.05,20,20,0,0,0
AID107206,0.05,20,20,0,0,0
AID107205,0.05,20,20,0,0,0
GNRC-CT-68-2020-Solar Utility-1-PTC,0.05,20,20,0,0,0
GNRC-MA-63-2020-Solar Utility-1-PTC,0.05,20,20,0,0,0
GNRC-MA-71-2020-Solar Utility-1-PTC,0.05,20,20,0,0,0
GNRC-MA-72-2020-Solar Utility-1-PTC,0.05,20,20,0,0,0
GNRC-ME-69-2020-Solar Utility-1,0.05,20,20,0,0,0
GNRC-ME-70-2020-Solar Utility-1,0.05,20,20,0,0,0
GNRC-NH-74-2020-Solar Utility-1,0.05,20,20,0,0,0
GNRC-RI-62-2020-Solar Utility-1,0.05,20,20,0,0,0
GNRC-VT-75-2020-Solar Utility-1,0.05,20,20,0,0,0
GNRC-CT-61-2020-Solar Utility-1,0.05,20,20,0,0,0
GNRC-CT-67-2020-Solar Utility-1,0.05,20,20,0,0,0
GNRC-MA-73-2020-Solar Utility-1,0.05,20,20,0,0,0
GNRC-VT-75-2020-Solar Utility-1-PTC,0.05,20,20,0,0,0
GNRC-CT-68-2020-Solar Utility-1,0.05,20,20,0,0,0
GNRC-MA-63-2020-Solar Utility-1,0.05,20,20,0,0,0
GNRC-MA-71-2020-Solar Utility-1,0.05,20,20,0,0,0
GNRC-MA-72-2020-Solar Utility-1,0.05,20,20,0,0,0
GNRC-NH-74-2020-Solar Utility-1-PTC,0.05,20,20,0,0,0
GNRC-RI-62-2020-Solar Utility-1-PTC,0.05,20,20,0,0,0
GNRC-CT-61-2020-Wind Offshore-1,0.05,20,20,0,0,0
GNRC-MA-63-2020-Wind Offshore-1,0.05,20,20,0,0,0
GNRC-MA-71-2020-Wind Offshore-1,0.05,20,20,0,0,0
GNRC-ME-70-2020-Wind Offshore-1,0.05,20,20,0,0,0
GNRC-NH-74-2020-Wind Offshore-1,0.05,20,20,0,0,0
GNRC-RI-62-2020-Wind Offshore-1,0.05,20,20,0,0,0
GNRC-CT-68-2020-Wind Onshore-1,0.05,20,20,0,0,0
GNRC-MA-73-2020-Wind Onshore-1,0.05,20,20,0,0,0
GNRC-ME-69-2020-Wind Onshore-1,0.05,20,20,0,0,0
GNRC-ME-70-2020-Wind Onshore-1,0.05,20,20,0,0,0
GNRC-NH-74-2020-Wind Onshore-1,0.05,20,20,0,0,0
GNRC-NH-74-2020-Wind Onshore-1-PTC,0.05,20,20,0,0,0
GNRC-RI-62-2020-Wind Onshore-1-PTC,0.05,20,20,0,0,0
GNRC-VT-75-2020-Wind Onshore-1-PTC,0.05,20,20,0,0,0
GNRC-CT-67-2020-Solar Utility-1-PTC,0.05,20,20,0,0,0
GNRC-CT-61-2020-Solar Utility-1-PTC,0.05,20,20,0,0,0
GNRC-MA-73-2020-Solar Utility-1-PTC,0.05,20,20,0,0,0
GNRC-RI-62-2020-Wind Onshore-1,0.05,20,20,0,0,0
GNRC-VT-75-2020-Wind Onshore-1,0.05,20,20,0,0,0
GNRC-CT-68-2020-Wind Onshore-1-PTC,0.05,20,20,0,0,0
GNRC-MA-73-2020-Wind Onshore-1-PTC,0.05,20,20,0,0,0
GNRC-ME-69-2020-Wind Onshore-1-PTC,0.05,20,20,0,0,0
GNRC-ME-70-2020-Wind Onshore-1-PTC,0.05,20,20,0,0,0
GNRC-ME-70-2020-Solar Utility-1-PTC,0.05,20,20,0,0,0
GNRC-ME-69-2020-Solar Utility-1-PTC,0.05,20,20,0,0,0
SVU000352,0.05,20,20,0,0,0
SVU000753,0.05,20,20,0,0,0
SVU000863,0.05,20,20,0,0,0
SVU000483,0.05,20,20,0,0,0
SVU000353,0.05,20,20,0,0,0
SVU000343,0.05,20,20,0,0,0
SVU000338,0.05,20,20,0,0,0
SVU000303,0.05,20,20,0,0,0
SVU000283,0.05,20,20,0,0,0
SVU000282,0.05,20,20,0,0,0
SVU000287,0.05,20,20,0,0,0
AID104841,0.05,20,20,0,0,0
AID106047,0.05,20,20,0,0,0
SVU000122,0.05,20,20,0,0,0
SVU000117,0.05,20,20,0,0,0
SVU000112,0.05,20,20,0,0,0
SVU000292,0.05,20,20,0,0,0
SVU000297,0.05,20,20,0,0,0
SVU000302,0.05,20,20,0,0,0
SVU000337,0.05,20,20,0,0,0
SVU000342,0.05,20,20,0,0,0
SVU000482,0.05,20,20,0,0,0
AID_DM_1144,0.05,20,20,0,0,0
AID_DM_1122,0.05,20,20,0,0,0
AID_DM_1053,0.05,20,20,0,0,0
AID_DM_1193,0.05,20,20,0,0,0
AID_DM_1194,0.05,20,20,0,0,0
AID_DM_1216,0.05,20,20,0,0,0
AID_DM_1079,0.05,20,20,0,0,0
AID_DM_1285,0.05,20,20,0,0,0
AID_DM_1288,0.05,20,20,0,0,0
AID_DM_1377,0.05,20,20,0,0,0
AID_DM_1341,0.05,20,20,0,0,0
AID_DM_1312,0.05,20,20,0,0,0
AID_DM_1412,0.05,20,20,0,0,0
AID_DM_1393,0.05,20,20,0,0,0
AID_DM_1423,0.05,20,20,0,0,0
AID_DM_1477,0.05,20,20,0,0,0
AID_DM_1500,0.05,20,20,0,0,0
AID_DM_1746,0.05,20,20,0,0,0
AID_DM_1771,0.05,20,20,0,0,0
AID_DM_1709,0.05,20,20,0,0,0
AID_DM_1732,0.05,20,20,0,0,0
AID_DM_1789,0.05,20,20,0,0,0
AID_DM_1791,0.05,20,20,0,0,0
AID_DM_1798,0.05,20,20,0,0,0
AID_DM_1844,0.05,20,20,0,0,0
AID_DM_164,0.05,20,20,0,0,0
AID_DM_1917,0.05,20,20,0,0,0
AID_DM_1983,0.05,20,20,0,0,0
AID_DM_191,0.05,20,20,0,0,0
AID_DM_2050,0.05,20,20,0,0,0
AID_DM_213,0.05,20,20,0,0,0
AID_DM_2137,0.05,20,20,0,0,0
AID_DM_2186,0.05,20,20,0,0,0
AID_DM_2163,0.05,20,20,0,0,0
AID_DM_2199,0.05,20,20,0,0,0
AID_DM_2246,0.05,20,20,0,0,0
AID_DM_2234,0.05,20,20,0,0,0
AID_DM_2214,0.05,20,20,0,0,0
AID_DM_2320,0.05,20,20,0,0,0
AID_DM_2287,0.05,20,20,0,0,0
AID_DM_2357,0.05,20,20,0,0,0
AID_DM_242,0.05,20,20,0,0,0
AID_DM_2444,0.05,20,20,0,0,0
AID_DM_2328,0.05,20,20,0,0,0
AID_DM_2406,0.05,20,20,0,0,0
AID_DM_2460,0.05,20,20,0,0,0
AID_DM_2471,0.05,20,20,0,0,0
AID_DM_2511,0.05,20,20,0,0,0
AID_DM_2513,0.05,20,20,0,0,0
AID_DM_2487,0.05,20,20,0,0,0
AID_DM_2490,0.05,20,20,0,0,0
AID_DM_2514,0.05,20,20,0,0,0
AID_DM_2586,0.05,20,20,0,0,0
AID_DM_2728,0.05,20,20,0,0,0
AID_DM_2591,0.05,20,20,0,0,0
AID_DM_2665,0.05,20,20,0,0,0
AID_DM_2726,0.05,20,20,0,0,0
AID_DM_2756,0.05,20,20,0,0,0
AID_DM_278,0.05,20,20,0,0,0
AID_DM_28,0.05,20,20,0,0,0
AID_DM_2910,0.05,20,20,0,0,0
AID_DM_2950,0.05,20,20,0,0,0
AID_DM_2959,0.05,20,20,0,0,0
AID_DM_2820,0.05,20,20,0,0,0
AID_DM_3064,0.05,20,20,0,0,0
AID_DM_3102,0.05,20,20,0,0,0
AID_DM_3187,0.05,20,20,0,0,0
AID_DM_3230,0.05,20,20,0,0,0
AID_DM_3244,0.05,20,20,0,0,0
AID_DM_3176,0.05,20,20,0,0,0
AID_DM_3406,0.05,20,20,0,0,0
AID_DM_3500,0.05,20,20,0,0,0
AID_DM_3512,0.05,20,20,0,0,0
AID_DM_3673,0.05,20,20,0,0,0
AID_DM_3759,0.05,20,20,0,0,0
AID_DM_339,0.05,20,20,0,0,0
AID_DM_3732,0.05,20,20,0,0,0
AID_DM_3806,0.05,20,20,0,0,0
AID_DM_3884,0.05,20,20,0,0,0
AID_DM_383,0.05,20,20,0,0,0
AID_DM_3855,0.05,20,20,0,0,0
AID_DM_3913,0.05,20,20,0,0,0
AID_DM_3914,0.05,20,20,0,0,0
AID_DM_4003,0.05,20,20,0,0,0
AID_DM_3998,0.05,20,20,0,0,0
AID_DM_4,0.05,20,20,0,0,0
AID_DM_4051,0.05,20,20,0,0,0
AID_DM_4065,0.05,20,20,0,0,0
AID_DM_4058,0.05,20,20,0,0,0
AID_DM_4097,0.05,20,20,0,0,0
AID_DM_461,0.05,20,20,0,0,0
AID_DM_507,0.05,20,20,0,0,0
AID_DM_608,0.05,20,20,0,0,0
AID_DM_50,0.05,20,20,0,0,0
AID_DM_552,0.05,20,20,0,0,0
AID_DM_653,0.05,20,20,0,0,0
AID_DM_654,0.05,20,20,0,0,0
AID_DM_669,0.05,20,20,0,0,0
AID_DM_667,0.05,20,20,0,0,0
AID_DM_668,0.05,20,20,0,0,0
AID_DM_72,0.05,20,20,0,0,0
AID_DM_775,0.05,20,20,0,0,0
AID_DM_925,0.05,20,20,0,0,0
AID_DM_712,0.05,20,20,0,0,0
AID_DM_75,0.05,20,20,0,0,0
AID_DM_935,0.05,20,20,0,0,0
AID_DM_958,0.05,20,20,0,0,0
AID_DM_963,0.05,20,20,0,0,0
AID_DM_999,0.05,20,20,0,0,0
AID104236,0.05,20,20,0,0,0
AID104294,0.05,20,20,0,0,0
AID101718,0.05,20,20,0,0,0
AID104857,0.05,20,20,0,0,0
SVU000862,0.05,20,20,0,0,0
SVU000752,0.05,20,20,0,0,0
AID106710,0.05,20,20,0,0,0
SVU000111,0.05,20,20,0,0,0
SVU000116,0.05,20,20,0,0,0
SVU000121,0.05,20,20,0,0,0
SVU000281,0.05,20,20,0,0,0
SVU000286,0.05,20,20,0,0,0
SVU000291,0.05,20,20,0,0,0
SVU000751,0.05,20,20,0,0,0
SVU000861,0.05,20,20,0,0,0
SVU000296,0.05,20,20,0,0,0
SVU000301,0.05,20,20,0,0,0
SVU000336,0.05,20,20,0,0,0
SVU000341,0.05,20,20,0,0,0
SVU000351,0.05,20,20,0,0,0
SVU000481,0.05,20,20,0,0,0
GNRC-CT-61-2020-Battery Storage-1,0.05,20,20,0,0,0
GNRC-CT-67-2020-Battery Storage-1,0.05,20,20,0,0,0
GNRC-CT-68-2020-Battery Storage-1,0.05,20,20,0,0,0
GNRC-MA-63-2020-Battery Storage-1,0.05,20,20,0,0,0
GNRC-MA-71-2020-Battery Storage-1,0.05,20,20,0,0,0
GNRC-MA-72-2020-Battery Storage-1,0.05,20,20,0,0,0
GNRC-MA-73-2020-Battery Storage-1,0.05,20,20,0,0,0
GNRC-ME-70-2020-Battery Storage-1,0.05,20,20,0,0,0
GNRC-NH-74-2020-Battery Storage-1,0.05,20,20,0,0,0
GNRC-RI-62-2020-Battery Storage-1,0.05,20,20,0,0,0
GNRC-VT-75-2020-Battery Storage-1,0.05,20,20,0,0,0
AID_DM_4153,0.05,20,20,0,0,0
AID_DM_4224,0.05,20,20,0,0,0
AID_DM_4281,0.05,20,20,0,0,0
AID_DM_4295,0.05,20,20,0,0,0
AID_DM_4355,0.05,20,20,0,0,0
AID_DM_4358,0.05,20,20,0,0,0
AID_DM_4548,0.05,20,20,0,0,0
AID_DM_4383,0.05,20,20,0,0,0
AID_DM_4473,0.05,20,20,0,0,0
AID_DM_4518,0.05,20,20,0,0,0
AID_DM_4521,0.05,20,20,0,0,0
AID_DM_4530,0.05,20,20,0,0,0
AID_DM_4532,0.05,20,20,0,0,0
